battery,bus,cpu_brand_modifier,cpu_generation,cpu_manufacturer,cpu_speed,gpu_manufacturer,manufacturer,price,ram,ram_type,screen_resolution,screen_size,storage,weight
41WHrs,3200MHz,i5,1334U,Intel,"4.60GHz,",Intel,Dell,17.990.000,8GB,DDR4,1920 x 1080,15.6,512GB,1.62 kg
50WHrs,3200MHz,7,5700U,AMD,"4.30GHz,",AMD,Acer,13.990.000,16GB,DDR4,1920 x 1080,15.6,512GB,1.7 kg
41WHrs,3200MHz,i5,1334U,Intel,"4.60GHz,",Intel,Dell,19.290.000,16GB,DDR4,1920 x 1080,15.6,512GB,1.62 kg
66Wh,4266MHz,i7,1250U,Intel,"4.70GHz,",Intel,HP,32.990.000,16GB,LDDR4,2880 x 1800,13.3,512GB,1.33 kg
43Wh,3200MHz,5,120U,Intel,"5.00GHz,",Intel®,HP,24.800.000,16GB,DDR4,1920 x 1080,14,512GB,1.51 kg
41WHrs,2666MHz,i5,1334U,Intel,"4.60GHz,",Intel,Dell,19.290.000,16GB,DDR4,1920 x 1080,15.6,512GB,1.62 kg
56Wh,5600MHz,Ultra5,125U,Intel,"4.30GHz,",Intel®,HP,23.990.000,8GB,DDR5,1920 x 1200,14,512GB,1.39kg
59Wh,6400MHz,Ultra7,155U,Intel,"4.80GHz,",Intel®,HP,36.990.000,16GB,LPDDR5,2880 x 1800,14,1TB,Đèn nền bàn phím
58Wh,6400MHz,Ultra5,125U,Intel,"4.30GHz,",Intel®,Lenovo,30.590.000,16GB,LPDDR5x,1920x1200,14.0,512GB,1.24 kg
56Wh,5600MHz,Ultra5,125H,Intel,"4.50GHz,",Intel,HP,27.990.000,16GB,DDR5,1920 x 1200,14,512GB,1.39kg
68Wh,7467MHz,Ultra7,155H,Intel,"4.80GHz,",Intel,HP,55.990.000,16GB,LPDDR5x,2880 x 1800,14,1TB,1.36 kg
42WHrs,5600MHz,i5,1335U,Intel,"4.60GHz,",Intel,Dell,19.990.000,8GB,DDR5,1920 x 1080,14,512GB,
54.7Wh,6400MHz,Ultra7,155H,Intel,"4.80GHz,",Intel®,Lenovo,35.790.000,16GB,LPDDR5x,1920x1200,13.3,512GB,1.17 kg
58Whr,4800MHz,Ultra5,125U,Intel,"4.30GHz,",Intel®,Acer,19.990.000,16GB,DDR5,1920 x 1200,14,512GB,1.27 kg
90Wh,5600MHz,Ultra7,155H,Intel,"4.80GHz,",NVIDIA®,Lenovo,67.770.000,32GB,DDR5,3840x2400,16,1TB,2.22 kg
54.7Wh,6400MHz,Ultra7,155H,Intel,"4.80GHz,",Intel®,Lenovo,41.590.000,16GB,LPDDR5x,1920x1200,13.3,1TB,1.17 kg
90Wh,5600MHz,Ultra7,155H,Intel,"4.80GHz,",NVIDIA®,Lenovo,72.680.000,64GB,DDR5,1920x1200,16,2TB,2.22 kg
90Wh,5600MHz,i7,13700H,Intel,"5.00GHz,",NVIDIA®,Lenovo,71.560.000,64GB,DDR5,3840x2400,16,1TB,2.20 kg
"72WHrs,",8533MHz,Ultra7,258V,Intel,"4.80GHz,",Intel®,ASUS,44.990.000,32GB,LPDDR5X,2880 x 1800,14.0,1TB,Trắng
90Wh,5600MHz,Ultra7,155H,Intel,"4.80GHz,",NVIDIA®,Lenovo,63.240.000,64GB,DDR5,1920x1200,16,1TB,2.22 kg
90Wh,5600MHz,Ultra7,155H,Intel,"4.80GHz,",NVIDIA®,Lenovo,59.630.000,32GB,DDR5,1920x1200,16,1TB,2.22 kg
45WHr,5200MHz,i7,1355U,Intel,"5.00GHz,",Intel®,Lenovo,21.990.000,16GB(2x,DDR5,1920x1200,14.0,512GB,1.38 kg
75Wh,5600MHz,Ultra5,125H,Intel,"4.50GHz,",NVIDIA®,Lenovo,37.690.000,16GB(1x,DDR5,1920x1200,16,512GB,1.82 kg
59Wh,6400MHz,Ultra5,125U,Intel,"4.30GHz,",Intel®,HP,31.290.000,16GB,LPDDR5,2880 x 1800,14,1TB,1.34 kg
58WHr,4800MHz,i7,1255U,Intel,"4.70GHz,",Intel®,Acer,16.990.000,16GB,DDR5,"WUXGA, 1920 x 1200",16,512GB,Steel Gray (Xám)
65Wh,6400MHz,Ultra7,155H,Intel,"4.80GHz,",Intel®,Acer,27.490.000,16GB,LPDDR5X,2880x1800,14,512GB,1.32 kg
59Wh,6400MHz,Ultra5,125U,Intel,"4.30GHz,",Intel®,HP,29.490.000,16GB,LPDDR5,2880 x 1800,14,512GB,1.34 kg
68Wh,7467MHz,Ultra7,155H,Intel,"4.80GHz,",Intel,HP,56.990.000,32GB,LPDDR5x,2880 x 1800,14,1TB,1.36 kg
60Whr,7467MHz,Ultra7,155H,Intel,"4.80GHz,",Intel®,LG,37.990.000,16GB,LPDDR5X,1920 x 1080,"15.6""",512GB,990 g
50WHrs,3200MHz,7,5700U,AMD,"4.30GHz,",AMD,Acer,12.990.000,8GB,DDR4,1920 x 1080,15.6,512GB,1.7 kg
54Wh,,5,8640HS,AMD,"4.90GHz,",AMD,Dell,16.990.000,8GB,DDR5,1920x1200,14,512GB,1.71 kg
71Wh,3200MHz,7,7730U,AMD,"4.50GHz,",AMD,Lenovo,26.490.000,32GB(2x,DDR4,2560x1600,16,1TB,1.70 kg
47WH,3200MHz,i5,13500H,Intel,"4.70GHz,",Intel®,Lenovo,21.490.000,32GB,DDR4,1920x1200,14,512GB,1.53 kg
75Wh,5600MHz,Ultra7,155H,Intel,"4.80GHz,",NVIDIA®,Lenovo,69.170.000,64GB(2x,DDR5,3840x2400,16,2TB,1.82 kg
"3S1P,",8448MHz,EliteX1E,X,Snapdragon,"3.4GHz,",Qualcomm,Asus,34.990.000,32GB,LPDDR5X,2880 x 1620,15.6,1TB,1.42 kg
43Wh,3200MHz,7-150U,150U,Intel,"5.40GHz,",Intel®,HP,27.990.000,16GB,DDR4,1920 x 1080,14,512GB,1.51 kg
75Wh,5600MHz,Ultra7,155H,Intel,"4.80GHz,",NVIDIA®,Lenovo,55.420.000,64GB(2x,DDR5,1920x1200,16,1TB,1.82 kg
38Wh,3200MHz,i5,13420H,Intel,"4.60GHz,",Intel®,Lenovo,15.730.000,16GB,DDR4,1920x1080,14,512GB,1.43 kg
75Wh,5600MHz,Ultra7,155H,Intel,"4.80GHz,",NVIDIA®,Lenovo,59.630.000,64GB,DDR5,3072 x 1920,14.5,1TB,1.61kg
