Battery (WHrs),Bus (MHz),CPU Brand Modifier,CPU Generation,CPU Manufacturer,CPU Speed (GHz),GPU Manufacturer,Manufacturer,RAM (GB),RAM Type,Screen Resolution,Screen Size (Inches),Storage (GB),Weight (kg),Price
41,3200,7,1355.0,Intel,5.00,Intel,HP,16,DDR4,1920x1080,15.6,512.0,1.7,20490000
41,3200,7,1355.0,Intel,5.00,Intel,HP,16,DDR4,1920x1080,15.6,512.0,1.7,19990000
75,5600,Ultra7,155.0,Intel,4.80,Nvidia,Lenovo,64,DDR5,3072x1920,14.5,1024.0,1.61,54990000
85,5600,Ultra5,125.0,Intel,4.50,Intel,Lenovo,32,LPDDR5x,2560x1600,16.0,1024.0,1.9,25990000
41,3200,7,1355.0,Intel,5.00,Intel,HP,16,DDR4,1920x1080,15.6,512.0,1.7,19990000
85,7647,Ultra5,125.0,Intel,4.50,Intel,Lenovo,32,LPDDR5x,3072x1920,14.5,1024.0,1.5,25990000
56,5600,Ultra5,125.0,Intel,4.50,Intel,HP,16,DDR5,1920x1200,16.0,512.0,1.75,28080000
56,5600,Ultra7,155.0,Intel,4.80,Intel,HP,16,DDR5,1920x1200,16.0,512.0,1.75,32990000
41,6400,7,1360.0,Intel,5.00,Intel,Lenovo,16,LPDDR5,1920x1200,13.3,512.0,1.12,39990000
99.5,7467,Ultra7,155.0,Intel,4.80,Intel,Dell,16,LPDDR5x,1920x1200,16.3,512.0,2.13,52990000
41,3200,7,1355.0,Intel,5.00,Intel,HP,16,DDR4,1920x1080,15.6,512.0,1.7,20490000
59,6400,Ultra7,155.0,Intel,4.80,Intel,HP,16,LPDDR5,2880x1800,14.0,1024.0,,34790000
59,6400,Ultra7,155.0,Intel,4.80,Intel,HP,32,LPDDR5,2880x1800,14.0,1024.0,1.34,36590000
99.5,7467,Ultra7,155.0,Intel,4.80,Intel,Dell,16,LPDDR5x,1920x1200,16.3,512.0,2.13,52990000
57,4800,7,1355.0,Intel,5.00,Intel,Lenovo,32,LPDDR5x,2240x1400,14.0,512.0,1.25,35990000
41,2666,3,1305.0,Intel,4.50,Intel,Dell,8,DDR4,1920x1080,15.6,512.0,1.85,13890000
54,4800,7,1360.0,Intel,5.00,Intel,Dell,16,LPDDR5,2560x1600,14.0,512.0,1.5,21990000
41,3200,7,1355.0,Intel,5.00,Intel,HP,16,DDR4,1920x1080,15.6,256.0,1.7,18990000
45,3200,7,7730.0,AMD,4.50,Amd,Lenovo,16,DDR4,1920x1200,14.0,512.0,1.38,19990000
