Title,Now Price,Link,Manufacturer,html_file,CPU manufacturer,CPU,CPU Speed (GHz),RAM (GB),RAM Type,Storage (GB),Screen Size (inch),Screen Resolution,Refresh Rate (Hz),GPU manufacturer,GPU,Weight (kg),Battery,Charging
"Laptop Lenovo IdeaPad Slim 5 14IMH9 Ultra 5 125H/AI/16GB/512GB/14""WUXGA/OLED/Win 11",20.490.000 ₫,https://fptshop.com.vn//may-tinh-xach-tay/lenovo-ideapad-slim-5-14imh9-ultra-5-125h,lenovo,data/laptop_html/lenovo+7.html,Intel,125H,1.2 ,16 GB (1 thanh 16 GB),DDR5,512 ,14 inch,1920 x 1200 Pixels,60 ,Intel,ARC,1.48 kg,57 Wh,65 W
"Laptop Lenovo Ideapad 1 - 14ALC7 R7 5700U/16GB/512GB/14.0"" FHD/Win 11",12.790.000 ₫,https://fptshop.com.vn//may-tinh-xach-tay/lenovo-ideapad-1-14alc7-r7-5700u,lenovo,data/laptop_html/lenovo+8.html,AMD,5700U,1.8 ,16 GB (2 thanh 8 GB),DDR4,512 ,14 inch,1920 x 1080 Pixels,60 ,AMD,Radeon,1.38 kg,42 Wh,65 W
"Laptop Lenovo ThinkBook 16 Gen 6 i7 1355U/16GB/512GB/16.0"" WUXGA/Win 11",21.690.000 ₫,https://fptshop.com.vn//may-tinh-xach-tay/lenovo-thinkbook-16-g6-irl-21kh00byvn,lenovo,data/laptop_html/lenovo+9.html,Intel,1355U,1.7 ,16 GB (2 thanh 8 GB),DDR5,512 ,16 inch,1920 x 1200 Pixels,60 ,Intel,Iris Xe,1.7 kg,71 Wh,65 W
"Laptop Lenovo IdeaPad Slim 5 14IMH9 Ultra 7-155H/AI/16GB/512G/14""WUXGA/OLED/Win 11",24.490.000 ₫,https://fptshop.com.vn//may-tinh-xach-tay/lenovo-ideapad-slim-5-14imh9-ultra-7-155h,lenovo,data/laptop_html/lenovo+10.html,Intel,155H,1.4 ,16 GB (2 thanh 8 GB),DDR5,512 ,14 inch,1920 x 1200 Pixels,60 ,Intel,ARC,1.48 kg,57 Wh,65 W
"Laptop Lenovo Gaming LOQ 15IAX9 i5 12450HX/AI/24GB/512GB/15.6""FHD/RTX4050_6GB/Win11",26.490.000 ₫,https://fptshop.com.vn//may-tinh-xach-tay/lenovo-gaming-loq-15iax9-i5-12450hx-24gb-512gb,lenovo,data/laptop_html/lenovo+11.html,Intel,12450HX,2.4 ,24 GB (2 thanh 12GB),DDR5,512 ,15.6 inch,1920 x 1080 Pixels,144 ,NVIDIA,GeForce RTX 4050,2.38 kg,60 Wh,170 W
"Laptop Lenovo IdeaPad 1 15ALC7 R5 5500U/16GB/512GB/15.6"" FHD/Win11",10.790.000 ₫,https://fptshop.com.vn//may-tinh-xach-tay/lenovo-ideapad-1-15alc7-r5-5500u,lenovo,data/laptop_html/lenovo+12.html,AMD,5500U,2.10 Ghz,16 GB (2 thanh 8 GB),DDR4,512 GB,15.6 inch,1920 x 1080 Pixels,60 Hz,AMD,Radeon,1.58 kg,42 Wh,65 W
"Laptop Lenovo Gaming LOQ 15IAX9 i5 12450HX/AI/24GB/512GB/15.6""FHD/RTX2050 4GB/Win11",20.390.000 ₫,https://fptshop.com.vn//may-tinh-xach-tay/lenovo-gaming-loq-15iax9-i5-12450hx-ai-24gb,lenovo,data/laptop_html/lenovo+13.html,Intel,12450HX,NA,24 GB (2 thanh 12GB),DDR5,512 ,15.6 inch,1920 x 1080 Pixels,144 ,NVIDIA,Geforce RTX 2050,2.38 kg,60 Wh,135 W
"Laptop Lenovo ThinkPad E14 G5 I5 13420H/16GB/512GB/14""WUXGA/Win 11",21.290.000 ₫,https://fptshop.com.vn//may-tinh-xach-tay/lenovo-thinkpad-e14-g5-i5-13420h,lenovo,data/laptop_html/lenovo+14.html,Intel,13420H,2.1 ,16 GB (2 thanh 8 GB),DDR4,512 ,14 inch,1920 x 1200 Pixels,60 ,Intel,UHD,1.43 kg,47 Wh,65 W
"Laptop Lenovo IdeaPad Slim 5 Light 14ABR8 R5 7530U/8GB/512GB/14""FHD/Win 11",11.990.000 ₫,https://fptshop.com.vn//may-tinh-xach-tay/lenovo-ideapad-slim-5-light-14abr8-r5-7530u,lenovo,data/laptop_html/lenovo+15.html,AMD,7530U,2 ,8 GB (1 thanh 8 GB),DDR4,512 ,14 inch,1920 x 1080 Pixels,240 ,AMD,Radeon,1.17 kg,47 Wh,65 W
"Laptop Lenovo Gaming Legion Slim 5 16AHP9 R7-8845HS/AI/16GB/512GB/16""WQXGA/RTX4060_8GB/Win11",40.590.000 ₫,https://fptshop.com.vn//may-tinh-xach-tay/lenovo-gaming-legion-slim-5-16ahp9-r7-8845hs-83dh003avn,lenovo,data/laptop_html/lenovo+16.html,AMD,8845HS,3.8 ,16 GB (1 thanh 16 GB),DDR5,512 ,16 inch,1600 x 2560 Pixels,165 ,NVIDIA,NA,2.3 kg,80 Wh,230 W
"Laptop Lenovo Gaming LOQ - 15IRX9 i7-13650HX/AI/16GB/512GB/15.6""FHD/RTX4050 6GB/Win 11",29.290.000 ₫,https://fptshop.com.vn//may-tinh-xach-tay/lenovo-gaming-loq-15irx9-i7-13650hx-16gb,lenovo,data/laptop_html/lenovo+17.html,Intel,13650HX,2.6 ,16 GB (1 thanh 16 GB),DDR5,512 ,15.6 inch,1920 x 1080 Pixels,144 ,NVIDIA,GeForce RTX 4050,2.38 kg,60 Wh,170 W
